ID,Title,Quarter,Week,Phase,Workstream,Product Area,Status,Priority,Dependencies,Touches,Description
Q3-02,Unified tool experience,Q3,,Cards Consolidation,Studio Experience,Studio,Not Started,P0,Q3-01,"Prompts; use cases; Cards; cross-reference links","Prompts + use cases + cards as one coherent Studio with cross-references. A prompt generates a card. A use case links to prompts and cards. Module exercises invoke cards."
Q3-03,Sprint tracking + outcomes,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P0,Q2-04,"sprint tables; Playbook; activity_log","Full lifecycle: brief → scheduled → in_progress → delivered → reviewed. Post-sprint deliverables captured back into Playbook."
Q3-04,Relations view,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P1,Q2-11,"React Flow; activity_relations; standardized model",React Flow dependency graph using the standardized relationship model from Q2.
Q3-05,Timeline + Stream views,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P1,Q1-06,"activity_log; activity feed",Chronological activity feed + personalized stream. Uses existing activity_log data.
Q3-06,Quarter-over-quarter reporting,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P0,"Q2-02; Q2-08","analytics; completions; use cases; sprints; learning adoption",The renewal conversation view. Completion rates trending — use cases growing — sprints delivered — learning adoption from Studio side.
Q3-07,Export capabilities,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P1,Q3-06,"PDF generation; transformation progress data",Shareable PDF/summary of transformation progress for stakeholder reporting.
Q3-08,Performance optimization,Q3,,Scale + Enterprise,Platform Unification,Platform,Not Started,P1,,"caching; rate limiting; cost controls per org","Caching strategy for 100-1000 user clients (read-heavy workload). Rate limiting on AI features. Cost controls per org."
Q3-09,Studio content sharing,Q3,,Scale + Enterprise,Studio Experience,Studio,Not Started,P2,"Q1-07; Q1-08","use cases; prompts; approval workflow",Employees share use cases + prompts within their org. Approval workflow for shared content.
Q3-10,Advanced notification preferences,Q3,,Scale + Enterprise,Learning Infrastructure,Platform,Not Started,P2,Q2-10,"notification_recipients; user preferences","Per-user toggles for email types (weekly digest — status changes — refresh reminders — learning nudges)."
Q3-11,Cross-client template library,Q3,,Scale + Enterprise,Studio Experience,Platform,Not Started,P2,"Q1-07; Q1-08; Q3-09","anonymized content; template tables",Anonymized best-of prompts and use case templates across all clients. The beginning of Tatoma's content moat.
