block,process,stage,systems,domain,ai_capability_examples,session_notes
Production & Handoffs,Request-to-Fulfill,Provision,"Azure, Snipe-IT, Apple Business Manager",Projects & Innovation,"Auto-provisioning, license management","575K DKK budget approved for MS Agent projects"
Production & Handoffs,Request-to-Fulfill,Enable,"Extensis, Snipe-IT",Workforce & Skills,"Tool training recommendations","Shadow IT allowed for personal exploration (private accounts only)"
Delivery & Knowledge,Deliver-to-Archive,Finalize,"Frame.io, Vimeo, Encodify",Projects & Innovation,"Format conversion, delivery checklist",
Delivery & Knowledge,Deliver-to-Archive,Deliver,"FTP (internal), Encodify, OneDrive",Communications & Collaboration,"Delivery notification, receipt tracking","WeTransfer being phased out. Delivery method is client-driven"
Delivery & Knowledge,Deliver-to-Archive,Archive,"LucidLink, Backblaze",Projects & Innovation,"Auto-tagging, searchable asset indexing","Hot storage pressure. Need cold storage migration. 2-5yr retention by contract"
Delivery & Knowledge,Deliver-to-Archive,Reflect,"??? (major gap)",Insights & Analytics,"Retro summarization, lessons learned DB","NO RETROS except major issues. Town hall shares success stories. Kudos system coming"
Delivery & Knowledge,Time-to-Cash,Track,"Float, Deltek Maconomy Cloud",Insights & Analytics,"Time capture reminders, auto-fill","Maconomy = time registration + budgets"
Delivery & Knowledge,Time-to-Cash,Validate,"Deltek Maconomy Cloud, Power BI",Insights & Analytics,"Time vs estimate alerts, anomaly detection","PAIN: Project health reactive - discover overruns too late"
Delivery & Knowledge,Time-to-Cash,Invoice,"Deltek Maconomy Cloud, MediusGo",Insights & Analytics,"Invoice drafting from time entries","Sproom for sending invoices"
Delivery & Knowledge,Time-to-Cash,Collect,"Sproom, Acubiz",Customers & Contracts,"Payment reminders, reconciliation",
Operations & Patterns,Hire-to-Retire,Recruit,"Manual (DK), Vietnam Works/Glassdoor (VN)",Workforce & Skills,"JD generation, candidate screening","NO HR SYSTEM - under investigation. Very manual in Denmark"
Operations & Patterns,Hire-to-Retire,Onboard,"Entra ID, Snipe-IT, Apple Business Manager",Workforce & Skills,"Auto-provisioning, onboarding checklist","Entra ID = source of truth for org structure"
Operations & Patterns,Hire-to-Retire,Develop,"Zoios",Workforce & Skills,"Skill gap analysis, learning paths","Zoios = pulse surveys monthly"
Operations & Patterns,Hire-to-Retire,Perform,"Zoios",Workforce & Skills,"Review prep, feedback summarization","Zoios journals for 1:1s and EDPs"
Operations & Patterns,Hire-to-Retire,Offboard,"??? (gap)",Workforce & Skills,"Knowledge exit interviews, access revoke","PAIN: Knowledge leaves with people"
Operations & Patterns,Issue-to-Resolution,Report,"Jira, Teams",Communications & Collaboration,"Ticket classification, urgency scoring",
Operations & Patterns,Issue-to-Resolution,Diagnose,"PRTG, Elasticsearch+Kibana",Projects & Innovation,"Root cause suggestion, runbook lookup",
Operations & Patterns,Issue-to-Resolution,Resolve,"Splashtop, Azure",Projects & Innovation,"Auto-remediation for known issues",
Operations & Patterns,Issue-to-Resolution,Document,"??? (gap)",Communications & Collaboration,"Resolution summarization, KB article generation",
Operations & Patterns,Report-to-Insight,Collect,"SuperMetrics, Meltwater",Insights & Analytics,"Scheduled data pulls, anomaly flagging",
Operations & Patterns,Report-to-Insight,Aggregate,"Power BI, Fabric, Adaptive",Insights & Analytics,"Dashboard refresh, KPI calculation","Power BI owned by Finance. Used for budget forecasting"
Operations & Patterns,Report-to-Insight,Interpret,"Power BI",Insights & Analytics,"Narrative generation, trend explanation",
Operations & Patterns,Report-to-Insight,Act,"Teams, Encodify",Communications & Collaboration,"Insight-to-action recommendations",
